Add Component: Footprint Not Found MARK
Added Pin To Net: NetName=GND Pin=U2-70
Added Pin To Net: NetName=GND Pin=U2-71
Added Pin To Net: NetName=GND Pin=U2-72
Added Pin To Net: NetName=GND Pin=U2-73
Added Pin To Net: NetName=GND Pin=U2-88
Added Pin To Net: NetName=GND Pin=U2-89
Added Pin To Net: NetName=GND Pin=U2-90
Added Pin To Net: NetName=GND Pin=U2-91
Added Pin To Net: NetName=GND Pin=U2-92
Added Pin To Net: NetName=GND Pin=U2-93
Added Pin To Net: NetName=GND Pin=U2-94
Added Pin To Net: NetName=GND Pin=U3-2
Added Pin To Net: NetName=NetC25_1 Pin=U3-3
Added Pin To Net: NetName=NetC23_2 Pin=U3-4
Added Pin To Net: NetName=USIM_VDD Pin=U3-5
Added Pin To Net: NetName=NetC24_1 Pin=U3-6
Added Pin To Net: NetName=NET_LIGHT Pin=R23-1
Added Pin To Net: NetName=NET_LIGHT Pin=U2-16
Added Net: Name=NET_LIGHT
Added Pin To Net: NetName=NET_STATE Pin=R24-1
Added Pin To Net: NetName=NET_STATE Pin=U2-25
Added Net: Name=NET_STATE
Added Pin To Net: NetName=NetCARD1_CD Pin=CARD1-CD
Added Pin To Net: NetName=NetCARD1_CD Pin=R?-2
Added Pin To Net: NetName=NetCARD1_CD Pin=R?-2
Added Net: Name=NetCARD1_CD
Added Pin To Net: NetName=PWR_ON/OFF Pin=R7-1
Added Pin To Net: NetName=PWR_ON/OFF Pin=U2-7
Added Net: Name=PWR_ON/OFF
Added Pin To Net: NetName=USIM_DET Pin=R?-1
Added Pin To Net: NetName=USIM_DET Pin=U2-79
Added Net: Name=USIM_DET
Added Pin To Net: NetName=VCC12 Pin=C2-2
Added Pin To Net: NetName=VCC12 Pin=C3-1
Added Pin To Net: NetName=VCC12 Pin=P1-1
Added Pin To Net: NetName=VCC12 Pin=U1-3
Added Pin To Net: NetName=VCC12 Pin=U1-5
Added Net: Name=VCC12
Added Member To Class: ClassName=4G_Module Member=Component C1 104/25V
Added Member To Class: ClassName=4G_Module Member=Component C2 10uF/25V
Added Member To Class: ClassName=4G_Module Member=Component C3 100uF/10V
Added Member To Class: ClassName=4G_Module Member=Component C4 10uF/25V
Added Member To Class: ClassName=4G_Module Member=Component C5 47uF/10V
Added Member To Class: ClassName=4G_Module Member=Component C6 104/10V
Added Member To Class: ClassName=4G_Module Member=Component C7 22pF/NC
Added Member To Class: ClassName=4G_Module Member=Component C12 100uF/10V
Added Member To Class: ClassName=4G_Module Member=Component C13 10pF
Added Member To Class: ClassName=4G_Module Member=Component C14 33pF
Added Member To Class: ClassName=4G_Module Member=Component C15 100nF
Added Member To Class: ClassName=4G_Module Member=Component C21 10nF
Added Member To Class: ClassName=4G_Module Member=Component C22 104
Added Member To Class: ClassName=4G_Module Member=Component C23 33PF
Added Member To Class: ClassName=4G_Module Member=Component C24 33PF
Added Member To Class: ClassName=4G_Module Member=Component C25 33PF
Added Member To Class: ClassName=4G_Module Member=Component C26 1nF/10V/0603
Added Member To Class: ClassName=4G_Module Member=Component C27 1nF/10V/0603
Added Member To Class: ClassName=4G_Module Member=Component C28 NC
Added Member To Class: ClassName=4G_Module Member=Component C29 NC
Added Member To Class: ClassName=4G_Module Member=Component CARD1 SMN-303
Added Member To Class: ClassName=4G_Module Member=Component L1 4.7uH/3A
Added Member To Class: ClassName=4G_Module Member=Component LED1 LED
Added Member To Class: ClassName=4G_Module Member=Component LED2 LED
Added Member To Class: ClassName=4G_Module Member=Component LED3 LED
Added Member To Class: ClassName=4G_Module Member=Component LED4 LED
Added Member To Class: ClassName=4G_Module Member=Component LED5 LED
Added Member To Class: ClassName=4G_Module Member=Component P1 Header 8
Added Member To Class: ClassName=4G_Module Member=Component Q2 S8050
Added Member To Class: ClassName=4G_Module Member=Component Q3 S8050
Added Member To Class: ClassName=4G_Module Member=Component Q4 S8050
Added Member To Class: ClassName=4G_Module Member=Component Q5 AO3400
Added Member To Class: ClassName=4G_Module Member=Component Q6 S8050
Added Member To Class: ClassName=4G_Module Member=Component R1 1K/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R3 40.2K
Added Member To Class: ClassName=4G_Module Member=Component R4 103
Added Member To Class: ClassName=4G_Module Member=Component R7 4.7K
Added Member To Class: ClassName=4G_Module Member=Component R10 4.7K
Added Member To Class: ClassName=4G_Module Member=Component R11 47K
Added Member To Class: ClassName=4G_Module Member=Component R12 10K
Added Member To Class: ClassName=4G_Module Member=Component R13 0R
Added Member To Class: ClassName=4G_Module Member=Component R14 0R
Added Member To Class: ClassName=4G_Module Member=Component R15 0R
Added Member To Class: ClassName=4G_Module Member=Component R16 4.7K/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R17 10K/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R18 4.7K/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R19 10K/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R20 0R/5%/0805
Added Member To Class: ClassName=4G_Module Member=Component R21 2.2K
Added Member To Class: ClassName=4G_Module Member=Component R22 2.2K
Added Member To Class: ClassName=4G_Module Member=Component R23 472/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R24 472/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R25 47K/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R26 47K/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R27 1K/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R28 1K/5%/0603
Added Member To Class: ClassName=4G_Module Member=Component R? 0R
Added Member To Class: ClassName=4G_Module Member=Component R? 10K
Added Member To Class: ClassName=4G_Module Member=Component S1 SMA
Add Class Member: Failed to add class member : Component Test_1 MARK
Added Member To Class: ClassName=4G_Module Member=Component U1 DIO6930
Added Member To Class: ClassName=4G_Module Member=Component U2 ML307A
Added Member To Class: ClassName=4G_Module Member=Component U3 SMF05C
